jp,tw,kw
"{ｶｲｴﾝ}「手紙を書きながら
	　自分でもあの娘と同じ事を
	　しているのに気づいた。
	　本当は、前を向いていないと…
	　もう、目をそらすまい。
	　そして前に……","{Cayenne}: As I wrote my letters,
	 I realized that I, too, was doing
	 the same thing as that girl.
	 That in truth I was not facing forward...
	 I shall avert mine eyes no more.
	 Thus, forward...","{CYAN}: As I wrote to that girl, I realized I was very much like her.
	I was looking behind...full of despair. My eyes were closed...
	And then something changed..."
"マランダで{ガウ}どのに
	会ったでござる。
	「ケフカを倒すため強くなる」と
	言ってどこかへ…
	たぶん{ガウ}どのは
	獣ケ原に向かったでござる。","I encountered Sir {Gau} in Maranda.
	He said, ""I'll get stronger to beat Cefca,""
	and went off somewhere...
	Belike Sir {Gau} headed
	for the Beast Plain.","I bumped into Sir {GAU} in Maranda. He said he had to become stronger if he was to face Kefka.
	He probably returned to the Veldt."
"{カイエン}の宝箱のカギを
	見つけた。",Found the key to {Cayenne}'s treasure chest.,Found the key to {CYAN}'s treasure chest.
"こ、これは…　
「誰にでもわかる機械」
	「マンガでわかる機械」
	「これで機械おんちがなおる！」
	「機械のすべてがわかる本」
	　…　…　それと…　
	「ちょっとエッチな本」を見つけた！","W-well, now...
Found ""Machinery for Dummies"",
	""Understanding Machines through Manga"",
	""Cure Your Mechanical Incompetence!"",
	""The Machinery Comprehension Book"",
	 ... ... and...
	some mildly lewd books!","W...why...
	A child could use this machine!
	This is a joke! I'll never be afraid of machines again!
Found ""Machinery Manual""
	......and...... 
	Book of Secrets."
"{ｶｲｴﾝ}「だめでござる！
	　それは、せっしゃの大切な…！","{Cayenne}: No!
	 That is my precious...!","{CYAN}: No!
	That's mine!!!"
"ﾛｰﾗ「このお花や、手紙が彼からのもの
	　じゃないことはわかっていました。
	　でもそれを、みとめてしまうことが
	　こわくて…
	　自分にうそをついていたの…
	　でも、もうだいじょうぶ。
	　どなたかは、わかりませんが、その
	　人が書いてくれた手紙を読むうちに
	　心の傷がいえてきて…
	　きっと、その人も同じような傷を
	　心にもった人…　
	　できれば、お会いしたい…","Lola: I knew these flowers and letters
	 weren't from my boyfriend.
	 But I was afraid to admit it...
	 I've been lying to myself...
	 But I'll be all right now.
	 I don't know who it was, but as I
	 read the letters he wrote me,
	 the wounds of my heart healed...
	 I'm sure that person had much the
	 same kind of wounds in his heart...
	 I'd like to meet him if I can...","LOLA: I knew that these flowers and letters weren't sent by my boyfriend. I just didn't want to admit it.
	I was lying to myself...
	But I'm all right now.
	As I read those letters...
	...the pain I felt in my heart became bearable...
	I'm sure whoever wrote them has suffered greatly... 
	I wish I could meet him..."
『実はそれは…,"""Actually, he's...""","Actually, ..."
"{ｶｲｴﾝ}「前を向いて生きなされ。
	　光は前からやってくる…","{Cayenne}: Face forward and live.
	 The light comes from before thee...","{CYAN}: Look to the future...
	We have a lot of life left to live..."
"前をむいて…
	光のくるほうへ……　
	私、がんばります。","Face forward...
	where the light comes from...
	I'll do my best.","I feel like I have a future now! I'll take your words to heart... 
	I'll be okay."
"{カイエン}は、手紙を
	すりかえた…",{Cayenne} replaced the letter...,{CYAN} exchanged the letters...
"ローラへ
	これまで、うそを書き続けてきた
	わしをゆるしてほしい。
	もう真実から目をそらすのは
	終わらせなければならぬと思い
	今は、ふでをとっている。
	モブリズのあの若者はもう、この世に
	いない。せっしゃがかわりに手紙を
	書いていたのだ。すまない…
	過ぎ去ったことにしばられ、未来の
	時間をむだすることはたやすい。
	だが、それは何も生み出さぬ。
	前に進むことができぬ。
	もう１度、前を見ることを思い出して
	ほしい。愛するということを
	思い出してほしい…
	　　　　　　　　{カイエン}","Lola,
	I implore thee to forgive me
	for having lied to thee thus far.
	I now take up brush with the
	thought that thou must now cease
	averting thine eyes from reality.
	That lad in Mobliz is no longer of
	this world. I have been writing letters
	in his stead. Mine apologies...
	A simple matter it is to be bound by
	what is past and squander the future.
	Yet that doth bring forth nothing.
	Nor can it continue onward.
	I would that thou dost remember once
	more to look forward. I would that thou
	dost remember what it is to love...
	        - {Cayenne}","Dear Lola,
	I am writing to beg for your forgiveness. I am guilty of perpetuating a terrible lie...
	I have only now realized the error of my ways. I hope I can correct a great wrong.
	Your boyfriend, who you thought was in Mobliz, passed away some time ago. I have been writing in his stead...
	We humans tend to allow the past to destroy our lives.
	I implore you not to let this happen.
	It is time to look forward, to rediscover love, and embrace the beauty of life.
	You have so much of life left to live...
	            {CYAN}"
『ついてこい、って事か？,"""He wants us to follow him?""",You're...coming with us?
"この前、３人で獣ケ原へいったら
	獣のようなかっこうをした少年に
	あったぜ。","When three of us went to the
	Beast Plain earlier, we met a
	boy that looked like a beast.",We 3 recently went hunting on the Veldt. We saw some weird kid there dressed all in hides...
"なぜか、４人でいくと
	あえないんだよな、これが。","For some reason, we can't find him
	when all four of us go together, see.",For some reason he never came near when all 4 of us were together.
"その少年を仲間にするために
	おいらはいつも、ここでるすばん。
	ふん、どうせおいらは、のけものさ。","I always stay behind here so they
	can get that boy to hang with them.
	Hmph, I'm always the outcast anyway.",Reduce the number of people in your party if you want him to approach you.
"獣ケ原の北にある森には
	でっかい恐竜がすんでいる。
	むちゃくちゃに強いヤツで
	人間の力じゃ、ゼッタイにたおせない。
	……でも、たおせたら
	みんなにじまんできるぜ、きっと。","In the forest north of the Beast Plains
	live some hugeass dinosaurs.
	They're crazy strong and there's no way
	mere human strength could beat them.
	...but if you did beat them, you could
	brag to everyone, that's for sure.","In a forest north of the Veldt dwells a frightful dragon.
	I suppose no human could ever defeat it...but oh, how free we would be if someone could..."
『ひどいケガだ…,"""Such awful wounds...""",Look at those wounds...
リフレクの効果がきえた,Reflect's effect is gone.,"Effect of ""Rflect"" vanished"
後ろに敵の気配！,There's an enemy behind us!,Enemy's coming from behind!
もう一体、モンスターが現われた！,Another monster appeared!,Another monster appeared!
４連打！！,Four-hit combo!!,4 attacks!!
"『ここで手当てはムリだな。
	……、しかたがない。
	飛空艇でサマサの村まで運ぼう。","""We can't treat these wounds here.
	...there's not much choice. Let's use the
	airship as transport to Thamasa Village.""","We can't do anything for her here.
	Let's take her back to Thamasa using the airship."
『うなされているな…,"""Must be having a nightmare...""",You were having a nightmare...
"　　俺をつれもどしに……
	　　だが、戻るわけにはいかん…
	　　おまえは、娘といっしょに
	　　平和な世界で生きるがいい","  Come to bring me back...?
	  But I can't go back...
	  You should live with the girl,
	  in a peaceful world.","You came to fetch me...
	But I won't be coming back...
	I want you, and the girl,
	to live in a peaceful world..."
"　　パパは……？
	　　パパはどこ行ったの？
	　　もう、帰ってこないの？","  Daddy...?
	  Where did daddy go?
	  Won't he ever come back?","Papa...?
	Where'd he go?
	Is he ever coming back?"
『ここで、しばらく休ませよう。,"""We'll let them rest here for a while.""",Let's rest here for a moment.
「………,: .........,......
『だいじょうぶか？,"""Are you okay?""",Are you okay?
"{ｼｬﾄﾞｳ}「心配するな。
	　これしきのキズ。
	　それに、こいつが見はっててくれる
	　から安心だ。","{Shadow}: Don't worry.
	 These wounds are nothing.
	 Besides, he's standing guard,
	 so I can rest easy.","{SHADOW}: No need to worry. It's just a scratch.
	Also, he's gonna stand guard,
	so you just relax."
"{ﾘﾙﾑ}「まだ、ちょっと…
	　でも、だいじょうぶ。
	　インターセプターがいるから。","{Relm}: I'm still kinda...
	 But I'll be fine.
	 Interceptor's here.","{RELM}: I'm still a bit groggy...
	But I'm okay. Interceptor always makes me happy!"
"あの、黒い服を着た男の人ですが
	コロシアムに行く、と言って
	出ていってしまいました。","That man in the black clothes
	left, saying he was going to the
	coliseum.","If you're looking for the man dressed all in black, he left for the colosseum."
"ある日、ジドール貴族の使いと
	なのる人がきて、あの女の子を
	つれていってしまいました。","Someone claiming to be a messenger
	for a Jidoor aristocrat came one day
	and took that girl with him.","One day, a man working for an aristocrat in Jidoor came and took that young woman back with him!"
"エボシ岩が５０年ぶりにうかんだの。
	世界大破壊の地震のせいかしら？
	村の北にいけば、見られるわよ。","Eboshi Rock surfaced for the first time in fifty years.
	Did the apocalyptic earthquakes cause it?
	You can see it if you go north of the village.","For the first time in 50 years, Ebot's Rock is above water!
	Head north of town if you want to see it."
"『どうしてこんなところに？
	{ｼｬﾄﾞｳ}「俺に残されたのは
	　戦いだけの修羅の道…","""Why are you in a place like this?""
	{Shadow}: The only thing left to me is
	 the path of bloodshed in combat...","What're you doing here?
	{SHADOW}: The only thing I know how to do is fight..."
"『いっしょに行かないか？
	{ｼｬﾄﾞｳ}「そうだな…","""Would you come with us?""
	{Shadow}: I suppose...","Why not come with us?
	{SHADOW}: Well..."
"{ｼｬﾄﾞｳ}「修羅の道…
	　きわめてみるか。","{Shadow}: The path of bloodshed...
	 might as well go all-out.",{SHADOW}: First I need to see how far I can get here...
"俺は帝国兵！
	…の生き残り。
	バンダナをまいた、おまえたちの仲間に
	とっておきの情報を教えてやったぜ。
	「皇帝に２度話しかけろ」
	ガストラ皇帝が秘宝を隠した場所の
	ヒントだ。
	どういう意味かは知らん。","I'm an Imperial soldier!
	...or at least survived being one.
	I gave some special information to
	a bandana-wearing buddy of yours.
	""Talk to the emperor twice.""
	It's a hint to where Emperor Gastra
	concealed an arcane treasure.
	I'm not sure what it means.","I'm an Imperial Trooper! 
	Probably, the last of 'em...
	I have some valuable information for you!
	Talk to the Emperor twice.
	Use this when you've found the place where the Emperor hid a secret treasure."
"ﾋﾞﾘｰ「クライド…あいぼうの……俺を
	　よくも……殺したな…　
	　お前も……俺のところに来いよ……
	　なあ　クライド　…　","Billy: Clyde... how dare you...
	 kill me... your partner...?
	 Come here... and join me...
	 Come on, Clyde...","BARAM: Clyde...I'm...
	done for...
	F...find me here...
	Please, Clyde... "
"ﾋﾞﾘｰ「ひゃっほー！！
	　やったぜ！クライドよ。
	ｸﾗｲﾄﾞ「１００００００ギルはあるぜ！
	　楽しいねェ！強盗人生も。","Billy: Yahoo!!
	 Clyde, we've done it!
	Clyde: We've got 1,000,000 gil!
	 A robber's life can be a lot of fun!","BARAM: Yahoooo!
	We did it, Clyde!
	CLYDE: A million GP!
	What a blast! I love this!"
"ﾋﾞﾘｰ「そろそろ名前を
	　考えなきゃいけねえ。
	ｸﾗｲﾄﾞ「名前？
	ﾋﾞﾘｰ「コンビの名前さ。
	　俺は考えてあるんだ。
	ｸﾗｲﾄﾞ「何だ？
	ﾋﾞﾘｰ「{シャドウ}だ！
	　どうだ、かっこいいだろ？","Billy: It's about time for us
	 to come up with a name.
	Clyde: Name?
	Billy: A name for our band.
	 I've thought of one.
	Clyde: What is it?
	Billy: {Shadow}!
	 Nice ring to it, huh?","BARAM: Guess it's time to change our name.
	CLYDE: Our name?
	BARAM: We need something more...appropriate.
	BARAM: Such as...?
	BARAM: ... {SHADOW}!
	Not bad, huh?"
"ｸﾗｲﾄﾞ「世紀の列車強盗団
	　{シャドウ}か……","Clyde: {Shadow}, the train robbers
	 of the century...?","CLYDE: Great train robbers of the century...
	{SHADOW}...?"
"ｸﾗｲﾄﾞ「しっかり目をあけろ！
	ﾋﾞﾘｰ「俺はどうなってる？…はァ　はァ
	　…これ…俺の血か？
	ｸﾗｲﾄﾞ「だいじょうぶ、心配するな。","Clyde: Get your eyes open!
	Billy: What the? ...*gasp* *gasp*
	 ...this... it's my blood?
	Clyde: You'll be fine, don't worry.","CLYDE: Open your eyes!
	BARAM: I'm scared...hack, cough...
	Is...is this MY blood...?
	CLYDE: You're gonna be okay!"
"ﾋﾞﾘｰ「ゆだんしたよ……
	　すまねえ……
	ｸﾗｲﾄﾞ「しゃべるな！町につくまで。
	ﾋﾞﾘｰ「俺にはわかってるよ。
	　俺の血だろ…これ？もうダメだよ。","Billy: I got careless...
	 Sorry...
	Clyde: Don't talk! Not until we hit town.
	Billy: I know better.
	 It's my blood... right? I'm done for.","BARAM: I've let you down...
	I'm sorry...
	CLYDE: Save your strength.
	We're almost to a town.
	BARAM: You don't have to pretend. I know. I've lost...too much blood."
"ﾋﾞﾘｰ「さあ行け！
	　足手まといの俺にかまうな。
	ｸﾗｲﾄﾞ「しかし！
	ﾋﾞﾘｰ「つかまってもいいのか！","Billy: Go on and go!
	 Forget me, I'll just slow you down.
	Clyde: But!
	Billy: Don't you care if you get caught!?","BARAM: Get going!
	I'm gonna slow you down.
	CLYDE: But...!
	BARAM: You wanna get caught?"
"ﾋﾞﾘｰ「行く前に……
	　そのナイフで俺をさしてくれ。","Billy: Before you go...
	 stab me with that knife.","BARAM: Before you go...
	You have to use your knife..."
"ｸﾗｲﾄﾞ「そんなこと……
	ﾋﾞﾘｰ「つかまったら
	　どんな仕打ちを受けるか
	　知っているだろう？
	俺はそんな目にあいたくねえ。
	うでをさわってみろ。","Clyde: I couldn't...
	Billy: You know what kind of
	 treatment I can expect if I
	 get caught, don't you?
	I don't wanna deal with that.
	Feel my arms.","CLYDE: WHAT!!!!
	BARAM: Think what they'll do to me if I get caught.
	I don't want to go through that. Do me this favor."
"ﾋﾞﾘｰ「震えているだろ？
	　生まれて初めてさ…
	　ガキみたいにガタガタ震えるのは。
	　だから、しょんべんチビって
	　恥ずかしい思いをする前に
	　お前のその手で……
	ｸﾗｲﾄﾞ「無理だ！","Billy: Shaking, right?
	 First time in my life...
	 I'm shaking like a little kid.
	 So before I embarrass myself
	 like some bedwetting brat,
	 you need to...
	Clyde: I can't!","BARAM: Are you...shaking?
	I can't believe it!
	You're acting like a coward!
	Come on, you weakling!
	Grab a knife and...
	CLYDE: I CAN'T!"
ﾋﾞﾘｰ「クライド！！！,Billy: Clyde!!!,BARAM: Clyde!!!
ｸﾗｲﾄﾞ「すまない……,Clyde: Sorry...,CLYDE: I'm sorry...
"ﾋﾞﾘｰ「クライド！！
	　よくもーーー！","Billy: Clyde!!
	 HOW DARE YOU!","BARAM: Clyde!
	How dare you!?"
"「もし……もし
	　しっかりして。",": Hello... hello?
	 Pull yourself together.","Hey...HEY!
	Stay with me now!"
"ｸﾗｲﾄﾞ「ここは……？
	「サ…マ……という小さな村よ。
	　さあ　しっかり！","Clyde: Where am...?
	: Tha... ma... ... a small village.
	 Come on, pull yourself together!","CLYDE: Where...am...?
	A small village called Thama...
	Hang in there!"
"北にあるのはアウザーの家だよ。
	美術品のコレクターで
	特に絵画には目がないんだ。","The house in the north is Auzer's.
	He's a collector of artwork, and
	is particularly fond of paintings.",The house to the north belongs to Owzer. He's a collector of fine paintings.
"この前、ガストラ皇帝に会ったぜ。　
	……とは言っても「絵」だけどな。
	アウザーさんの家にあるんだが
	なかなかよくかけてるよ。","I met Emperor Gastra the other day.
	...well, actually, just his portrait.
	It's in Auzer-san's house,
	and painted quite well.","I saw the Emperor recently! 
	A painting of him, that is...
	It's in Owzer's house."
"アウザーは有能な絵かきを見つけて
	来ては、家で絵をかかせていたよ。","Auzer found a talented artist to
	put to work painting in his house.",Owzer sought out a highly skilled artist to come and paint for him.
来…るな……,Stay... away...,Stay...away...
"アウザーの日記が置いてある…
Auzer's journal was left here...
It's Owzer's diary...
","Auzer's journal was left here...
It's Owzer's diary...
","It's Owzer's diary...
"
"久々に大きな買い物をした。
	ふつうの絵よりもサイズが大きいので
	１階にはかざれそうもない。
	あとで置く場所を考えるとしようか。","I made my first big purchase in a long time.
	It's a larger size than the usual paintings,
	so I can't decorate the first floor with it.
	I'll think about where to put it later.","Just spent an absolute fortune. It's my largest painting yet,
	so I won't be able to put it with the others.
	I'll decide later where to display it."
"今日、ゾゾから画家がやってきた。
	絵を見せてもらったが、まったく話に
	ならない。時間のムダだった。","An artist from Zozo came today. I had him
	show me his paintings, but they weren't
	even worth talking about. A waste of time.",An artist came from Zozo today. He wanted me to see his work. What a waste of time.
"階段のところのランプがこわれたので
	道具屋で新しいのを買ってきた。
	少し高かったが、スイッチひとつで
	すぐ明るくなるので気持ちがいい。","The lamp by the stairs broke, so I went
	to the item shop and bought a new one.
	It was a bit expensive, but it lights up quite
	nicely with just the flip of a switch.","Bought a new stairway lamp at the Item Shop. Expensive, but one flip of the switch and everything's bright and cheery."
"コーリンゲンから画家を呼んできた。
	しかし、私の目にかなうほどのウデでは
	なかったようだ。","I called an artist from Kohlingen here.
	Didn't seem to have skill enough
	to satisfy my eye, though.",I invited over an artist from Kohlingen. About as talented as a bucket...
"最近、体の調子がおかしい。
	どうやら、あの絵をかかせてからだ。
	そういえば最近、地下室の方から
	変な音が聞こえるような気がする。","I've been feeling off recently. It seems to
	be since I had that painting done. Which
	reminds me, I feel like I've been hearing
	odd noises from the basement lately.","Something's happening to me.
	It started when I had that picture painted...
	And I've started hearing odd noises coming from downstairs."
日記はここで終わっていた……,The journal ends at this point...,The diary ends here...
　　　　ガストラ皇帝の絵だ…,   Emperor Gastra's portrait..., Emperor Gestahl's portrait.
"「皇帝の手紙」　を手に入れた
	手紙には次のようにかいてある。
	秘宝は、山が星型にならぶ所に隠した。","Got the Emperor's Letter.
	The following is written in the letter:
	I concealed the arcane treasure where
	the mountains align in a star shape.","          Received the
	      ""Emperor's Letter.""
	The letter reads as follows:
	The treasure is hidden where the mountains form a star..."
　　　　　きれいな花の絵だ。,A picture of pretty flowers.,    A still-life of flowers.
　　　　まるで生きてるようだ…,They almost seem alive...,    They almost look alive...
　　　　きれいな女性の絵だ。,A picture of a pretty woman.,   Picture of a lovely lady.
"ｱｳｻﾞｰ「た、たのむ……　
	　あの絵を助けてくれ……
	『あの絵…！？
	ｱｳｻﾞｰ「わしの…
	　わしの大事な女神の絵に
	　魔物がとりついて…
	『魔物！？
	ｱｳｻﾞｰ「…そうじゃ。
	　しかもこいつが絵の中に隠れて
	　なかなか姿をあらわさない…","Auzer: I b-beg of you...
	 Save that painting...
	""The painting...!?""
	Auzer: There's...
	 a monster possessing my
	 precious goddess painting...
	""A monster!?""
	Auzer: ...that's right.
	 And on top of that, it's hiding inside
	 the painting and rarely shows itself...","OWZER: P...please... 
	Help that painting!!
	The painting!?
	OWZER: It's...there's a monster hiding in my prized painting of a goddess...
	A monster?!
	OWZER: Yes...
	And now it's nearly impossible to get it to show itself..."
"{ﾘﾙﾑ}「キャッ！
	ｱｳｻﾞｰ「{リルム}！
	　女神の絵に攻撃しちゃいかん。
	　とんでもない事になるぞ！","{Relm}: Eep!
	Auzer: {Relm}!
	 You can't attack the goddess painting.
	 That would be outrageous!","{RELM}: Ahhhhh!!
	OWZER: {RELM}!
	We can't attack this masterpiece! It would be inexcusable!"
"ﾁｬﾀﾞﾙﾇｰｸ「グフフフ……　
　	またジャマが入ったか……
	　こいつは久しぶりにいい絵だわい…
	　誰にもジャマはさせんぞ！！","Chadarnook: Ghu hu hu...
	 Here comes another hindrance...
	 I haven't had such a fine painting in ages...
	 I won't let anyone get in my way!!","CHADARNOOK: G'fu, fu, fu... 
	Who're these numbskulls?
	No one...NO ONE...is going to remove me from this fine new painting!!"
"あくりょう
	この絵の女は、わしがいただいた……
	そう簡単には返さないぜ……","Evil Spirit:
	I have claimed the woman in this picture...
	I won't give her back so easily...","DEMON:
	The girl in the picture is mine!
	You can't have her!"
死ぬまで体力がへり続けるぞ,Your health will keep dropping until you die.,Casts away your energy 'till......
"お、おのれ……
	こんなはずでは……","Wh-why you...!
	This cannot be...","I...I'm...
	This can't be......"
"ｱｳｻﾞｰ「だめじゃ！だめじゃ！
	　わしの大事な女神の絵に
	　キズがついたらどうするんじゃ！？
	　魔物だけをねらうんじゃぞ！","Auzer: Don't! Don't!
	 What if you damage my
	 precious goddess painting!?
	 Aim only for the monster!","OWZER: No! Noooo!
	You can't ruin this painting of my revered goddess!
	Aim only for the monster!!"
"{ﾘﾙﾑ}「おーい！
	　魔物はくたばったから安心しろよ。","{Relm}: Hey!
	 The monster's dropped dead, so chill.","{RELM}: Hey!
	Relax! The monster croaked!"
"ｱｳｻﾞｰ「おかげで助かった…
	　なんせ、命より大事な絵じゃからの。
	{ﾘﾙﾑ}「へーえ。
	　命よりも大事なんだ。","Auzer: Thanks to you, it's saved... the painting
	 is more precious than my life, after all.
	{Relm}: Oh. Really.
	 More precious than your life.","OWZER: Thanks for saving the day! This picture's more precious to me than my own life!
	{RELM}: Huh?!
	What are you talking about?"
"『ところで…
	　どうしてあの絵に魔物が…？
	ｱｳｻﾞｰ「競売場で買ってきた石を
	　見ていたら、急にラクシュミの絵が
	　ほしくなっての。
	それから、いろんな画家にかかせたが
	どうもパッとしない。
	ちょうどその時、街で{リルム}の
	うわさを聞いての。
	さっそく、ここへ連れてきて
	ラクシュミの絵をかかせたんじゃ。
	……ところが、かいている途中の
	絵に、魔物がとりついた。　
	きっと…
	あの石の魔性に引きよせられたんじゃ。","""By the way... why was there
	 a monster in that painting...?""
	Auzer: Looking at a stone I bought at
	 the auction house gave me a sudden
	 urge to have a painting of Lakshmi.
	Since then I've had all sorts of artists
	paint one, but none could satisfy me.
	It was around that time that I heard
	rumors of {Relm} around town.
	I brought her here at once and had
	her paint Lakshmi for me.
	...but when she was in the middle of
	painting, the monster possessed it.
	It must have been...
	lured here by the stone's magic.","Now...what was a monster doing in that picture?!
	OWZER: It all started when I bought a stone at the Auction House.
	I took one look at it and suddenly felt I needed a portrait of Starlet.
	I asked several artists, but none could muster enough skill.
	It was then that I heard about {RELM}'s amazing ability.
	I brought her here, and put her to work.
	But while she was painting, that thing came along... 
	It must have been enticed here by that stone."
"『その石はどこに…？
	ｱｳｻﾞｰ「その石か？　
	　そこの本だなにしまってあるが…","""Where is that stone...?""
	Auzer: The stone? I've put it away
	 in the bookshelf over there...","Where is the stone...?
	OWZER: The stone? 
	Over on that bookshelf."
"ｱｳｻﾞｰ「おいおい、そっちじゃない。
	　そいつは命の次に大事なもんだ。
	だが、助けてもらった礼じゃ。
	それもくれてやるわい。","Auzer: Hold on now, not that one.
	 That's nearly as important as my life.
	But as thanks for having you help me,
	I'll give that to you as well.","OWZER: Hey, not that.
	That's priceless!!
	But...seeing as you saved my hide, I'll give it to you as well."
"{ﾘﾙﾑ}「ねーねー。
　石は持ってかないの？石は。","{Relm}: Hey, hey!
	 The stone! Aren't you taking it?","{RELM}: The stone...!
	Won't you take the stone?!"
"『これは魔石…
	ｱｳｻﾞｰ「もうあんな目にあうのは
	　こりごりだ。タダでやるから
	　持っていってくれんか。","""This is magicite...""
	Auzer: It's brought me more than enough
	 trouble already. I'll give it to you free of
	 charge, so would you take it away?","This is Magicite...
	OWZER: Phew. I don't need any more bad luck. Just take it and go!"
　「魔石ラクシュミ」を手にいれた, Got the Lakshmi Magicite.,"     Received the Magicite
	              ""Starlet."""
"{ﾘﾙﾑ}「{リルム}行くよ。
	　でも心配しないで……必ずこの絵を
	　完成させるために戻ってくる！
	ｱｳｻﾞｰ「ああ…{リルム}や……。
	　いつまででも待っておるからの……","{Relm}: I'm going.
	 But don't worry... I'll be sure to come
	 back and finish this painting!
	Auzer: Ahh... {Relm}...
	 I'll wait as long as it takes...","{RELM}: I have to go!
	But fear not, I'll be back to finish this painting!
	OWZER: I'll be waiting for you!"
"ｱｳｻﾞｰ「
	　不思議な力がやどっておる。
	くさった世界を救うための
	ただ一つの希望……。それが
	この子の絵にはあるんじゃ。
	『その世界に光を取り戻すためには
	　{リルム}の力が必要なんです。","Auzer: 
	 A mysterious power dwells within.
	The only hope for saving
	this rotting world... it lies
	in this girl's paintings.
	""We need {Relm}'s help to bring
	 the light back into this world.""","OWZER: 
	What a tremendous gift!
	This young lady's pictures just might help salvage this rotting world of ours!
	We need to take {RELM} with us!
	She might just be our only chance to restore the sunny days of our not-too-distant past!"
"ｱｳｻﾞｰ「…ゴホッ……ゴホ…
	{ﾘﾙﾑ}「じじい！　
	　だいじょうぶか！？
	ｱｳｻﾞｰ「本当に戻るのかのお？
	『……わからない。
	　でも…このままでは
	　世界は確実に破滅する……
	ｱｳｻﾞｰ「破滅……か。
	『もう時間がないんだ。
	　だから{リルム}を……","Auzer: ...*cough*... *cough*...
	{Relm}: Geezer!
	 Are you okay!?
	Auzer: Will it really come back?
	""...we don't know.
	 But... the world will definitely
	 go to ruin as things stand...""
	Auzer: Ruin...
	""There's no time left.
	 So, {Relm}...""","OWZER: Cough...hack...
	{RELM}: Old man! 
	Are you all right?!
	OWZER: You think things will ever be as they were?
	...We don't know...
	but if we don't try...
	OWZER: We'll lose everything...
	We haven't much time.
	We need {RELM}'s help now..."
"ｱｳｻﾞｰ「もう一度だけ……　
	　{リルム}をだかせてくれんか…","Auzer: Would you let me hug {Relm}...
	 just one more time...?","OWZER: Let me at least hug her
	one last time..."
"ｱｳｻﾞｰ「…{リルム}や…
	　ゴホッ…
	　またここへ戻ってきてくれるか？
	　そして……また
	　わしのために絵をかいてくれるか？","Auzer: ...{Relm}...
	 *cough*...
	 Will you come back here again?
	 And... will you paint for me again?","OWZER: {RELM}...
	Cough...Hackack...
	Will you come back some day?
	And paint me another of your masterpieces?"
"{ﾘﾙﾑ}「まかしといてよ。
	ｱｳｻﾞｰ「よしよし……
	　いい子じゃ……","{Relm}: Leave it to me.
	Auzer: Good, good...
	 Good girl...","{RELM}: I'll come back.
	OWZER: Thank you...
	Such a nice girl!"
"{ﾘﾙﾑ}「こらあ！
	　くそじじー！！！
	　しゃきっとせんかあ！！！","{Relm}: Hey!
	 You rotten old geezer!!!
	 Can't you hold yourself together!?!","{RELM}: You!!
	You old fool!!!
	You're still standing?!"
"{ｽﾄﾗｺﾞｽ}「{リルム}！
	　{リルム}なのかあ！！
	　生きておったか！！！","{Stragus}: {Relm}!
	 {Relm}, it's you!!
	 You're alive!!!","{STRAGO}: {RELM}!
	Is that you, my dear?
	You're alive!!"
"{ﾘﾙﾑ}「バカね。おじいちゃん。
	　元気だしてよ。
	{ｽﾄﾗｺﾞｽ}「おお……
	　わしはてっきり……
	{ﾘﾙﾑ}「おじいちゃんより先に
	　いくわけないでしょ！！
	　このおいぼれ！！　ふふ！","{Relm}: Grampa, you idiot.
	 Cheer up.
	{Stragus}: Ohh...
	 I was so sure...
	{Relm}: Like there's any chance
	 I'd go before you do, grampa!!
	 You senile old fool!! *giggle*!","{RELM}: Idiot!
	Of course I'm all right!
	{STRAGO}: Oh...
	I'm so happy...
	{RELM}: Did you think I was gonna check out before you, old man?! Ah, ha, ha..."
"{ｽﾄﾗｺﾞｽ}「あいかわらず
	　口の悪い子じゃ。
	　……うれしいぞい。
	{ﾘﾙﾑ}「またいっしょにいこうよ。
	　みんなといっしょに！","{Stragus}: And you're just as
	 foul-mouthed a girl as ever.
	 ...I'm glad.
	{Relm}: Let's be together again.
	 With everyone else!","{STRAGO}: You're as foul-mouthed as ever, bless your heart!
	{RELM}: Come along now...
	We're all glad to see you!"
"{ｽﾄﾗｺﾞｽ}「うおー！
	　元気が出てきたぞい！
	　よ～し、わしもがんばるぞい～！！！","{Stragus}: Oh!
	 I'm feeling energetic!
	 Okay, I'll give it my best shot, too!!!","{STRAGO}: Whoa!
	Well I'll be...
	All right, make room for me!"
"秘密のお宝ネタを教えてやろうか？
	１０００００ギルでいいぜ？","Want me to give you a lead on some secret
	treasure? 100,000 gil will do the trick.",For 100000 GP I'll tell ya 'bout a secret treasure!
"きまえがいいねえ！　
	情報だ…
	フィガロの砂漠の下には、古代の城が
	あるらしい。きっとお宝だらけだぜ…
	それと、これは聞いた話なんだが…
	ナルシェの武器屋に住む老人が
	おまえたちをさがしてるらしい…","How generous of you!
	Here's the info...
	Beneath the Figaro Desert supposedly lies an
	ancient castle. It's bound to be full of treasure...
	Also, I heard this secondhand, but...
	apparently the old man living in the Narshe
	weapon shop is looking for you guys...","Hooey!!!! 
	Right, here's the scoop:
	Beneath the Desert of Figaro lies an ancient castle...
	...loaded with treasure.
	By the way, an old man who lives in the Weapon Shop in Narshe is looking for you..."
"『よし。
	　乗り込むぞ！","""Okay.
	 We're going in!""","Right.
	We're going in!"
